timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519878704405,1456,Open uttesh.com,200,OK,Sample Thread Group 1-1,text,true,,19167,109,1,1,1375,0,1252
1519878822832,170,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,169,0,140
1519878855069,121,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,119,0,87
1519879167698,120,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,117,0,87
1519879502187,175,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,173,0,133
1519879554032,124,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,122,0,93
1519880071778,124,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,122,0,94
1519880393833,128,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,126,0,94
1519880450577,172,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,169,0,92
1519880512050,153,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,150,0,112
1519880584663,131,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,129,0,99
1519880615716,133,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,131,0,99
1519881001172,128,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,127,0,99
1519881286742,124,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,121,0,90
1519881320337,140,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,137,0,110
1519881413269,134,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,132,0,100
1520959578337,317,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,458,116,1,1,314,0,213
1520959845543,107,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,466,120,1,1,104,0,75
1520959845558,3,Open localhost,301,Moved Permanently,Sample Thread Group 1-1,text,true,,466,120,1,1,3,0,0
1520960470398,147,Open localhost foo,301,Moved Permanently,Sample Thread Group 1-1,text,true,,466,120,1,1,144,0,110
1520960470419,3,Open localhost bar,301,Moved Permanently,Sample Thread Group 1-1,text,true,,466,120,1,1,3,0,0
